metric,n_classes,model1,model2,mean1,mean2,p_raw,p_bonf,Istotne
dbi,5,autoencoder,cmae,2.666854936496359,1.850461925029245,0.007936507936507936,0.023809523809523808,Tak
dbi,5,autoencoder,masked_autoencoder,2.666854936496359,2.319991913254371,0.007936507936507936,0.023809523809523808,Tak
dbi,5,cmae,masked_autoencoder,1.850461925029245,2.319991913254371,0.007936507936507936,0.023809523809523808,Tak
dbi,10,autoencoder,cmae,2.6732687577852183,1.7826088063837744,0.007936507936507936,0.023809523809523808,Tak
dbi,10,autoencoder,masked_autoencoder,2.6732687577852183,2.4576056007298526,0.05555555555555555,0.16666666666666666,Nie
dbi,10,cmae,masked_autoencoder,1.7826088063837744,2.4576056007298526,0.007936507936507936,0.023809523809523808,Tak
dbi,20,autoencoder,cmae,2.7735396732305437,1.972543469327657,0.007936507936507936,0.023809523809523808,Tak
dbi,20,autoencoder,masked_autoencoder,2.7735396732305437,2.4884139473232545,0.007936507936507936,0.023809523809523808,Tak
dbi,20,cmae,masked_autoencoder,1.972543469327657,2.4884139473232545,0.007936507936507936,0.023809523809523808,Tak
dbi,50,autoencoder,cmae,2.869576299855873,2.014802418031201,0.007936507936507936,0.023809523809523808,Tak
dbi,50,autoencoder,masked_autoencoder,2.869576299855873,2.593695537218262,0.007936507936507936,0.023809523809523808,Tak
dbi,50,cmae,masked_autoencoder,2.014802418031201,2.593695537218262,0.007936507936507936,0.023809523809523808,Tak
